localizacao,nivel_urgencia,tipo_situacao,pessoas_envolvidas
"Alameda Primeiro de Maio, 1029, Porto Alegre - RS",Baixo,Roubo (sem arma),Criança
"Avenida Barão do Rio Branco, 2323, Florianópolis - SC",Baixo,Roubo (sem arma),Vítima não identificada
"Praça Brasil, 968, Curitiba - PR",Baixo,Atividade suspeita,Suspeito(s) em fuga
"Avenida do Sol, 2388, São Paulo - SP",Alto,Perturbação do sossego,Suspeito(s) em fuga
"Rua São José, 393, Rio de Janeiro - RJ",Alto,Perturbação do sossego,Suspeito(s) em fuga
"Estrada Primeiro de Maio, 1757, Salvador - BA",Médio,Vandalismo,Casal
"Estrada Barão do Rio Branco, 89, Salvador - BA",Alto,Perturbação do sossego,Mulher
"Alameda XV de Novembro, 1043, Porto Alegre - RS",Médio,Acidente de trânsito sem vítima,Vítima não identificada
"Travessa Santa Rita, 1225, Curitiba - PR",Médio,Maus tratos a animais,Mulher
"Rua Marechal Deodoro, 2144, Belo Horizonte - MG",Baixo,Acidente de trânsito com vítima,Mulher
"Avenida Santos Dumont, 1708, Salvador - BA",Médio,Perturbação do sossego,Homem
"Praça Barão do Rio Branco, 559, Salvador - BA",Alto,Vandalismo,Criança
"Travessa Santos Dumont, 317, Fortaleza - CE",Médio,Assalto a mão armada,N/A (Ex: Incêndio)
"Rua Santos Dumont, 1026, Manaus - AM",Baixo,Vandalismo,Suspeito(s) em fuga
"Estrada Santos Dumont, 822, Curitiba - PR",Médio,Alarme disparado,Suspeito(s) em fuga
"Praça Santa Rita, 1184, Belo Horizonte - MG",Baixo,Maus tratos a animais,Grupo de homens
"Alameda XV de Novembro, 1672, Salvador - BA",Médio,Alarme disparado,Vítima não identificada
"Estrada da República, 1940, Porto Alegre - RS",Baixo,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Rua Primeiro de Maio, 1905, Belo Horizonte - MG",Baixo,Alarme disparado,Múltiplas pessoas
"Praça Duque de Caxias, 941, Porto Alegre - RS",Baixo,Agressão física,Suspeito(s) em fuga
"Travessa Marechal Deodoro, 1192, Brasília - DF",Baixo,Maus tratos a animais,Vítima não identificada
"Estrada Santos Dumont, 637, Recife - PE",Alto,Alarme disparado,Múltiplas pessoas
"Estrada das Flores, 909, Florianópolis - SC",Baixo,Agressão física,Criança
"Alameda Brasil, 1539, Fortaleza - CE",Alto,Acidente de trânsito sem vítima,Mulher
"Rua da República, 808, Porto Alegre - RS",Baixo,Acidente de trânsito com vítima,Criança
"Estrada Santa Rita, 1520, Recife - PE",Médio,Furto,Vítima não identificada
"Praça XV de Novembro, 368, Recife - PE",Alto,Acidente de trânsito sem vítima,Idoso
"Alameda XV de Novembro, 1930, Curitiba - PR",Baixo,Atividade suspeita,Criança
"Rua Barão do Rio Branco, 1196, Curitiba - PR",Baixo,Agressão física,Grupo de homens
"Estrada Primeiro de Maio, 1688, Florianópolis - SC",Baixo,Incêndio,Homem
"Praça Primeiro de Maio, 2298, Recife - PE",Baixo,Acidente de trânsito sem vítima,Criança
"Praça Santa Rita, 1833, Goiânia - GO",Baixo,Incêndio,Múltiplas pessoas
"Estrada XV de Novembro, 374, Florianópolis - SC",Alto,Briga doméstica,Múltiplas pessoas
"Praça Santos Dumont, 1125, Rio de Janeiro - RJ",Médio,Alarme disparado,Múltiplas pessoas
"Rua Marechal Deodoro, 1314, Brasília - DF",Médio,Maus tratos a animais,"Família (Homem, Mulher, Criança)"
"Alameda São José, 1534, Curitiba - PR",Médio,Alarme disparado,Suspeito(s) em fuga
"Alameda Santa Rita, 2123, Brasília - DF",Baixo,Maus tratos a animais,Homem
"Avenida Brasil, 463, Manaus - AM",Médio,Alarme disparado,Múltiplas pessoas
"Rua da Paz, 2168, Salvador - BA",Baixo,Maus tratos a animais,Vítima não identificada
"Travessa Barão do Rio Branco, 255, Porto Alegre - RS",Alto,Incêndio,N/A (Ex: Incêndio)
"Travessa do Sol, 1888, Florianópolis - SC",Alto,Acidente de trânsito sem vítima,Vítima não identificada
"Rua do Sol, 991, Salvador - BA",Médio,Desaparecimento,Vítima não identificada
"Alameda Marechal Deodoro, 370, Fortaleza - CE",Médio,Incêndio,Criança
"Travessa Primeiro de Maio, 2360, Brasília - DF",Alto,Roubo (sem arma),Vítima não identificada
"Praça Dom Pedro II, 2443, Fortaleza - CE",Médio,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Rua Santa Rita, 464, Belo Horizonte - MG",Médio,Desaparecimento,Vítima não identificada
"Estrada Barão do Rio Branco, 562, Rio de Janeiro - RJ",Baixo,Vandalismo,Homem
"Avenida das Flores, 2353, Porto Alegre - RS",Médio,Maus tratos a animais,Homem
"Praça Tiradentes, 2193, Recife - PE",Médio,Briga doméstica,Vítima não identificada
"Avenida Brasil, 619, Rio de Janeiro - RJ",Baixo,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Estrada da República, 249, Goiânia - GO",Médio,Furto,Vítima não identificada
"Estrada Sete de Setembro, 601, Fortaleza - CE",Médio,Agressão física,N/A (Ex: Incêndio)
"Avenida das Flores, 318, Salvador - BA",Baixo,Incêndio,Vítima não identificada
"Rua XV de Novembro, 310, Brasília - DF",Baixo,Desaparecimento,N/A (Ex: Incêndio)
"Avenida do Sol, 1355, Curitiba - PR",Baixo,Acidente de trânsito com vítima,"Família (Homem, Mulher, Criança)"
"Alameda Dom Pedro II, 795, Porto Alegre - RS",Baixo,Incêndio,Mulher
"Avenida Dom Pedro II, 2468, Porto Alegre - RS",Médio,Acidente de trânsito com vítima,Mulher
"Travessa Dom Pedro II, 1981, Recife - PE",Baixo,Furto,Grupo de homens
"Avenida Santa Rita, 2383, Rio de Janeiro - RJ",Baixo,Alarme disparado,Grupo de homens
"Avenida da República, 2002, Florianópolis - SC",Baixo,Roubo (sem arma),Homem
"Avenida São José, 113, Manaus - AM",Alto,Atividade suspeita,Vítima não identificada
"Rua das Flores, 1318, Salvador - BA",Alto,Agressão física,Casal
"Travessa Dom Pedro II, 2442, Fortaleza - CE",Baixo,Roubo (sem arma),Criança
"Estrada do Sol, 2206, Goiânia - GO",Médio,Maus tratos a animais,Criança
"Avenida XV de Novembro, 1980, Rio de Janeiro - RJ",Médio,Desaparecimento,Mulher
"Rua da República, 835, Rio de Janeiro - RJ",Médio,Perturbação do sossego,Criança
"Rua Santos Dumont, 963, Brasília - DF",Baixo,Vandalismo,Criança
"Praça Dom Pedro II, 1911, Florianópolis - SC",Baixo,Acidente de trânsito com vítima,Múltiplas pessoas
"Alameda Dom Pedro II, 1375, Salvador - BA",Médio,Incêndio,Grupo de homens
"Rua Brasil, 112, Florianópolis - SC",Baixo,Acidente de trânsito com vítima,Casal
"Travessa das Flores, 2454, Goiânia - GO",Médio,Atividade suspeita,Idoso
"Estrada do Sol, 479, Curitiba - PR",Baixo,Assalto a mão armada,Suspeito(s) em fuga
"Rua Santa Rita, 374, Rio de Janeiro - RJ",Baixo,Briga doméstica,Idoso
"Rua Primeiro de Maio, 801, Rio de Janeiro - RJ",Baixo,Roubo (sem arma),N/A (Ex: Incêndio)
"Avenida Brasil, 403, Brasília - DF",Médio,Alarme disparado,Idoso
"Rua Barão do Rio Branco, 2202, Rio de Janeiro - RJ",Médio,Roubo (sem arma),N/A (Ex: Incêndio)
"Travessa Duque de Caxias, 845, Porto Alegre - RS",Médio,Roubo (sem arma),"Família (Homem, Mulher, Criança)"
"Travessa São José, 962, Florianópolis - SC",Alto,Perturbação do sossego,Grupo de homens
"Avenida Primeiro de Maio, 2372, Fortaleza - CE",Médio,Vandalismo,"Família (Homem, Mulher, Criança)"
"Avenida Santos Dumont, 63, Fortaleza - CE",Médio,Incêndio,"Família (Homem, Mulher, Criança)"
"Praça Santa Rita, 1453, Rio de Janeiro - RJ",Baixo,Perturbação do sossego,Mulher
"Alameda Santa Rita, 1699, Florianópolis - SC",Baixo,Agressão física,Homem
"Estrada XV de Novembro, 425, Fortaleza - CE",Médio,Desaparecimento,Criança
"Travessa XV de Novembro, 1169, Curitiba - PR",Baixo,Agressão física,Criança
"Alameda da República, 69, São Paulo - SP",Baixo,Perturbação do sossego,Homem
"Avenida Santa Rita, 1223, Porto Alegre - RS",Baixo,Alarme disparado,Vítima não identificada
"Avenida Sete de Setembro, 193, Recife - PE",Médio,Acidente de trânsito sem vítima,Mulher
"Estrada Tiradentes, 2433, Belo Horizonte - MG",Baixo,Agressão física,Múltiplas pessoas
"Alameda da Paz, 121, Recife - PE",Baixo,Briga doméstica,Vítima não identificada
"Rua Sete de Setembro, 1455, Goiânia - GO",Alto,Vandalismo,"Família (Homem, Mulher, Criança)"
"Travessa Duque de Caxias, 400, Recife - PE",Baixo,Roubo (sem arma),Grupo de homens
"Rua Duque de Caxias, 71, Porto Alegre - RS",Baixo,Perturbação do sossego,"Família (Homem, Mulher, Criança)"
"Praça Brasil, 471, Recife - PE",Alto,Acidente de trânsito com vítima,Casal
"Travessa das Flores, 1490, Rio de Janeiro - RJ",Médio,Alarme disparado,N/A (Ex: Incêndio)
"Rua Santos Dumont, 1595, Florianópolis - SC",Médio,Desaparecimento,Idoso
"Rua Santos Dumont, 2090, Rio de Janeiro - RJ",Baixo,Agressão física,Idoso
"Rua das Flores, 2314, Manaus - AM",Médio,Assalto a mão armada,Mulher
"Avenida XV de Novembro, 2149, Porto Alegre - RS",Médio,Acidente de trânsito sem vítima,Homem
"Alameda Santa Rita, 1189, Belo Horizonte - MG",Baixo,Agressão física,N/A (Ex: Incêndio)
"Rua da República, 1658, Manaus - AM",Alto,Alarme disparado,Mulher
"Estrada da República, 552, Rio de Janeiro - RJ",Baixo,Desaparecimento,Casal
"Avenida São José, 2429, Fortaleza - CE",Alto,Briga doméstica,N/A (Ex: Incêndio)
"Rua Brasil, 358, São Paulo - SP",Baixo,Agressão física,Suspeito(s) em fuga
"Alameda da República, 1901, Brasília - DF",Baixo,Alarme disparado,Múltiplas pessoas
"Praça Primeiro de Maio, 1807, Salvador - BA",Baixo,Perturbação do sossego,Suspeito(s) em fuga
"Travessa Barão do Rio Branco, 950, Goiânia - GO",Médio,Acidente de trânsito com vítima,Criança
"Travessa Dom Pedro II, 804, Salvador - BA",Baixo,Roubo (sem arma),Idoso
"Estrada da República, 1921, Rio de Janeiro - RJ",Baixo,Agressão física,Criança
"Rua Primeiro de Maio, 2360, Curitiba - PR",Médio,Vandalismo,Criança
"Praça Primeiro de Maio, 1079, Florianópolis - SC",Alto,Perturbação do sossego,Suspeito(s) em fuga
"Alameda do Sol, 2345, Goiânia - GO",Médio,Agressão física,Casal
"Estrada da Paz, 1718, Goiânia - GO",Baixo,Incêndio,Casal
"Avenida São José, 1191, Manaus - AM",Médio,Alarme disparado,Criança
"Travessa Tiradentes, 1561, Belo Horizonte - MG",Baixo,Incêndio,Vítima não identificada
"Rua Sete de Setembro, 427, Recife - PE",Baixo,Alarme disparado,Múltiplas pessoas
"Alameda Santos Dumont, 1724, Goiânia - GO",Baixo,Perturbação do sossego,Mulher
"Avenida Brasil, 2105, Porto Alegre - RS",Médio,Desaparecimento,Suspeito(s) em fuga
"Travessa da República, 669, Brasília - DF",Baixo,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Rua XV de Novembro, 1268, Manaus - AM",Médio,Furto,"Família (Homem, Mulher, Criança)"
"Avenida São José, 1500, Florianópolis - SC",Médio,Agressão física,N/A (Ex: Incêndio)
"Alameda da Paz, 397, Recife - PE",Alto,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Rua Sete de Setembro, 284, Florianópolis - SC",Médio,Vandalismo,"Família (Homem, Mulher, Criança)"
"Estrada Dom Pedro II, 236, Florianópolis - SC",Baixo,Alarme disparado,"Família (Homem, Mulher, Criança)"
"Travessa Sete de Setembro, 1109, São Paulo - SP",Baixo,Agressão física,Homem
"Avenida Tiradentes, 1106, Rio de Janeiro - RJ",Alto,Incêndio,Homem
"Estrada Tiradentes, 121, Florianópolis - SC",Baixo,Incêndio,Casal
"Alameda Tiradentes, 1652, Salvador - BA",Alto,Atividade suspeita,Suspeito(s) em fuga
"Alameda da Paz, 1710, São Paulo - SP",Baixo,Agressão física,Múltiplas pessoas
"Rua Santa Rita, 2140, Curitiba - PR",Baixo,Maus tratos a animais,N/A (Ex: Incêndio)
"Travessa da República, 1209, Goiânia - GO",Baixo,Maus tratos a animais,Homem
"Alameda XV de Novembro, 1618, Salvador - BA",Baixo,Briga doméstica,Homem
"Praça da Paz, 960, Brasília - DF",Médio,Atividade suspeita,Vítima não identificada
"Praça do Sol, 1047, São Paulo - SP",Baixo,Desaparecimento,Idoso
"Estrada Barão do Rio Branco, 2468, Rio de Janeiro - RJ",Médio,Perturbação do sossego,"Família (Homem, Mulher, Criança)"
"Praça da Paz, 1774, Goiânia - GO",Médio,Incêndio,Criança
"Travessa Primeiro de Maio, 1505, Salvador - BA",Baixo,Furto,N/A (Ex: Incêndio)
"Estrada Dom Pedro II, 330, Recife - PE",Baixo,Agressão física,Suspeito(s) em fuga
"Avenida das Flores, 2068, Brasília - DF",Baixo,Vandalismo,N/A (Ex: Incêndio)
"Alameda Barão do Rio Branco, 688, Rio de Janeiro - RJ",Médio,Assalto a mão armada,Vítima não identificada
"Travessa Marechal Deodoro, 845, Brasília - DF",Alto,Atividade suspeita,Homem
"Praça São José, 1348, Recife - PE",Médio,Acidente de trânsito sem vítima,Homem
"Rua Dom Pedro II, 178, Recife - PE",Médio,Incêndio,Múltiplas pessoas
"Avenida Sete de Setembro, 37, Brasília - DF",Alto,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Avenida das Flores, 2314, Salvador - BA",Baixo,Roubo (sem arma),Suspeito(s) em fuga
"Avenida Marechal Deodoro, 2341, Florianópolis - SC",Alto,Desaparecimento,Mulher
"Alameda Barão do Rio Branco, 1851, Rio de Janeiro - RJ",Médio,Maus tratos a animais,Vítima não identificada
"Estrada Santos Dumont, 2299, Rio de Janeiro - RJ",Baixo,Alarme disparado,Homem
"Alameda Primeiro de Maio, 1555, Belo Horizonte - MG",Alto,Assalto a mão armada,Grupo de homens
"Praça do Sol, 1220, Brasília - DF",Baixo,Roubo (sem arma),Múltiplas pessoas
"Alameda Tiradentes, 1509, Fortaleza - CE",Médio,Perturbação do sossego,Homem
"Avenida São José, 1389, Fortaleza - CE",Baixo,Alarme disparado,Mulher
"Travessa XV de Novembro, 1020, Curitiba - PR",Baixo,Vandalismo,Idoso
"Estrada Primeiro de Maio, 1104, Goiânia - GO",Baixo,Incêndio,N/A (Ex: Incêndio)
"Avenida Primeiro de Maio, 148, Brasília - DF",Alto,Roubo (sem arma),Múltiplas pessoas
"Rua XV de Novembro, 1761, Curitiba - PR",Médio,Acidente de trânsito sem vítima,Casal
"Avenida Brasil, 124, Florianópolis - SC",Médio,Maus tratos a animais,Casal
"Praça Santos Dumont, 701, Manaus - AM",Baixo,Roubo (sem arma),Mulher
"Rua Santos Dumont, 837, Goiânia - GO",Alto,Acidente de trânsito sem vítima,Múltiplas pessoas
"Estrada Dom Pedro II, 627, Belo Horizonte - MG",Baixo,Agressão física,N/A (Ex: Incêndio)
"Estrada da República, 581, Manaus - AM",Baixo,Acidente de trânsito sem vítima,Vítima não identificada
"Estrada Barão do Rio Branco, 1639, Salvador - BA",Médio,Assalto a mão armada,Idoso
"Praça da República, 956, Florianópolis - SC",Médio,Perturbação do sossego,Grupo de homens
"Rua São José, 2209, Belo Horizonte - MG",Baixo,Acidente de trânsito sem vítima,Criança
"Travessa Duque de Caxias, 1704, Salvador - BA",Baixo,Perturbação do sossego,Grupo de homens
"Alameda Dom Pedro II, 844, Curitiba - PR",Baixo,Incêndio,Mulher
"Avenida Santa Rita, 1248, Recife - PE",Médio,Agressão física,Suspeito(s) em fuga
"Praça Santos Dumont, 1635, Fortaleza - CE",Médio,Acidente de trânsito com vítima,Criança
"Avenida Santos Dumont, 545, Fortaleza - CE",Médio,Assalto a mão armada,Homem
"Alameda Santos Dumont, 1818, Brasília - DF",Médio,Vandalismo,Múltiplas pessoas
"Avenida Barão do Rio Branco, 1723, Curitiba - PR",Médio,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Alameda Primeiro de Maio, 1666, Florianópolis - SC",Médio,Roubo (sem arma),Idoso
"Travessa Santos Dumont, 1530, Manaus - AM",Médio,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Travessa Santos Dumont, 2141, Goiânia - GO",Baixo,Acidente de trânsito com vítima,Mulher
"Travessa Primeiro de Maio, 162, São Paulo - SP",Médio,Furto,Criança
"Praça Dom Pedro II, 515, Rio de Janeiro - RJ",Baixo,Furto,Casal
"Alameda Barão do Rio Branco, 1426, Recife - PE",Baixo,Acidente de trânsito sem vítima,Múltiplas pessoas
"Rua da República, 511, Brasília - DF",Baixo,Atividade suspeita,Vítima não identificada
"Alameda das Flores, 2382, Salvador - BA",Baixo,Vandalismo,Vítima não identificada
"Alameda das Flores, 2029, Curitiba - PR",Médio,Briga doméstica,Suspeito(s) em fuga
"Praça da Paz, 1980, Manaus - AM",Alto,Roubo (sem arma),"Família (Homem, Mulher, Criança)"
"Rua Santa Rita, 1651, Curitiba - PR",Alto,Acidente de trânsito sem vítima,Idoso
"Rua Barão do Rio Branco, 2076, Salvador - BA",Baixo,Atividade suspeita,Mulher
"Avenida Dom Pedro II, 1374, Fortaleza - CE",Baixo,Furto,Casal
"Praça Marechal Deodoro, 1936, Goiânia - GO",Alto,Incêndio,N/A (Ex: Incêndio)
"Alameda do Sol, 15, São Paulo - SP",Médio,Assalto a mão armada,N/A (Ex: Incêndio)
"Praça das Flores, 280, Porto Alegre - RS",Alto,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Rua da Paz, 936, Goiânia - GO",Alto,Acidente de trânsito com vítima,Múltiplas pessoas
"Praça Barão do Rio Branco, 749, Fortaleza - CE",Médio,Alarme disparado,Múltiplas pessoas
"Estrada das Flores, 2131, Curitiba - PR",Médio,Maus tratos a animais,Mulher
"Rua São José, 548, Florianópolis - SC",Médio,Incêndio,Idoso
"Rua do Sol, 825, Manaus - AM",Baixo,Incêndio,Criança
"Estrada Barão do Rio Branco, 919, Goiânia - GO",Médio,Alarme disparado,Mulher
"Avenida das Flores, 759, Curitiba - PR",Alto,Vandalismo,Homem
"Praça do Sol, 1904, Porto Alegre - RS",Médio,Vandalismo,Suspeito(s) em fuga
"Travessa Brasil, 1679, Belo Horizonte - MG",Médio,Briga doméstica,Mulher
"Alameda das Flores, 1497, Fortaleza - CE",Médio,Alarme disparado,Homem
"Estrada Brasil, 1374, Florianópolis - SC",Médio,Furto,Homem
"Travessa da Paz, 1905, São Paulo - SP",Alto,Incêndio,Mulher
"Praça do Sol, 2318, Florianópolis - SC",Baixo,Incêndio,Grupo de homens
"Travessa da República, 2320, Belo Horizonte - MG",Médio,Vandalismo,Idoso
"Praça da República, 525, Salvador - BA",Alto,Acidente de trânsito com vítima,Múltiplas pessoas
"Estrada Tiradentes, 1025, Salvador - BA",Médio,Agressão física,Criança
"Praça São José, 2213, Goiânia - GO",Médio,Maus tratos a animais,Casal
"Avenida Dom Pedro II, 1843, Salvador - BA",Baixo,Alarme disparado,Vítima não identificada
"Alameda Barão do Rio Branco, 1939, Fortaleza - CE",Baixo,Vandalismo,Criança
"Praça Marechal Deodoro, 1658, Recife - PE",Médio,Maus tratos a animais,Vítima não identificada
"Praça Brasil, 264, São Paulo - SP",Médio,Atividade suspeita,Grupo de homens
"Estrada Santa Rita, 1238, Belo Horizonte - MG",Baixo,Briga doméstica,Homem
"Alameda Sete de Setembro, 520, Florianópolis - SC",Médio,Alarme disparado,Suspeito(s) em fuga
"Estrada Duque de Caxias, 1042, Porto Alegre - RS",Baixo,Alarme disparado,Homem
"Avenida Dom Pedro II, 234, Curitiba - PR",Alto,Desaparecimento,Casal
"Travessa Sete de Setembro, 472, Belo Horizonte - MG",Médio,Desaparecimento,Múltiplas pessoas
"Rua Brasil, 200, Rio de Janeiro - RJ",Baixo,Incêndio,Suspeito(s) em fuga
"Avenida da Paz, 1532, Porto Alegre - RS",Médio,Atividade suspeita,Grupo de homens
"Rua do Sol, 1682, Curitiba - PR",Baixo,Vandalismo,Múltiplas pessoas
"Travessa Santa Rita, 254, Recife - PE",Baixo,Roubo (sem arma),Homem
"Rua das Flores, 2434, Belo Horizonte - MG",Alto,Agressão física,N/A (Ex: Incêndio)
"Avenida Primeiro de Maio, 1679, Manaus - AM",Baixo,Maus tratos a animais,"Família (Homem, Mulher, Criança)"
"Praça das Flores, 57, Goiânia - GO",Médio,Alarme disparado,Idoso
"Rua das Flores, 2464, Curitiba - PR",Baixo,Perturbação do sossego,N/A (Ex: Incêndio)
"Travessa Marechal Deodoro, 2445, Goiânia - GO",Baixo,Roubo (sem arma),Homem
"Alameda Tiradentes, 2090, Manaus - AM",Médio,Incêndio,Homem
"Alameda Marechal Deodoro, 162, Porto Alegre - RS",Baixo,Desaparecimento,Casal
"Alameda Tiradentes, 2407, Porto Alegre - RS",Baixo,Perturbação do sossego,Grupo de homens
"Praça Duque de Caxias, 2483, Goiânia - GO",Médio,Maus tratos a animais,Mulher
"Avenida Dom Pedro II, 1446, Salvador - BA",Alto,Vandalismo,Casal
"Praça Primeiro de Maio, 355, São Paulo - SP",Médio,Vandalismo,Mulher
"Avenida Duque de Caxias, 1333, Recife - PE",Médio,Assalto a mão armada,Casal
"Estrada das Flores, 2194, Goiânia - GO",Médio,Furto,Casal
"Travessa Barão do Rio Branco, 2452, Porto Alegre - RS",Alto,Alarme disparado,Grupo de homens
"Alameda XV de Novembro, 1974, Manaus - AM",Baixo,Desaparecimento,Vítima não identificada
"Avenida Duque de Caxias, 354, Florianópolis - SC",Baixo,Desaparecimento,Grupo de homens
"Alameda Sete de Setembro, 1751, Florianópolis - SC",Médio,Incêndio,Vítima não identificada
"Avenida Sete de Setembro, 1490, Porto Alegre - RS",Médio,Acidente de trânsito sem vítima,Homem
"Rua da Paz, 1743, Rio de Janeiro - RJ",Médio,Assalto a mão armada,Criança
"Estrada da República, 1544, Manaus - AM",Médio,Briga doméstica,Grupo de homens
"Travessa São José, 209, Brasília - DF",Alto,Vandalismo,Múltiplas pessoas
"Travessa XV de Novembro, 1457, Manaus - AM",Médio,Roubo (sem arma),N/A (Ex: Incêndio)
"Praça São José, 1978, Porto Alegre - RS",Médio,Perturbação do sossego,Casal
"Avenida Dom Pedro II, 1043, Curitiba - PR",Baixo,Assalto a mão armada,Idoso
"Rua da República, 1567, Florianópolis - SC",Médio,Maus tratos a animais,N/A (Ex: Incêndio)
"Alameda São José, 447, Fortaleza - CE",Baixo,Vandalismo,Criança
"Estrada Sete de Setembro, 2341, Belo Horizonte - MG",Baixo,Perturbação do sossego,Casal
"Praça Marechal Deodoro, 2234, Florianópolis - SC",Médio,Desaparecimento,Mulher
"Estrada da República, 975, Curitiba - PR",Alto,Desaparecimento,Mulher
"Travessa Barão do Rio Branco, 2291, Rio de Janeiro - RJ",Médio,Incêndio,N/A (Ex: Incêndio)
"Rua do Sol, 423, Porto Alegre - RS",Alto,Roubo (sem arma),"Família (Homem, Mulher, Criança)"
"Travessa Brasil, 433, Rio de Janeiro - RJ",Médio,Incêndio,Múltiplas pessoas
"Avenida Marechal Deodoro, 2376, Porto Alegre - RS",Baixo,Acidente de trânsito sem vítima,Idoso
"Avenida São José, 286, Belo Horizonte - MG",Alto,Maus tratos a animais,"Família (Homem, Mulher, Criança)"
"Praça Tiradentes, 1520, Salvador - BA",Médio,Perturbação do sossego,Homem
"Rua Santos Dumont, 2050, Rio de Janeiro - RJ",Baixo,Atividade suspeita,Grupo de homens
"Travessa São José, 1154, Recife - PE",Médio,Incêndio,"Família (Homem, Mulher, Criança)"
"Estrada Marechal Deodoro, 105, Manaus - AM",Alto,Maus tratos a animais,Homem
"Alameda da Paz, 943, Florianópolis - SC",Alto,Assalto a mão armada,Mulher
"Rua Sete de Setembro, 2423, Belo Horizonte - MG",Baixo,Vandalismo,Homem
"Estrada XV de Novembro, 1659, Rio de Janeiro - RJ",Baixo,Roubo (sem arma),Múltiplas pessoas
"Praça Tiradentes, 889, Rio de Janeiro - RJ",Baixo,Assalto a mão armada,Vítima não identificada
"Alameda do Sol, 25, Porto Alegre - RS",Alto,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Praça Marechal Deodoro, 1747, Recife - PE",Alto,Roubo (sem arma),Criança
"Avenida da República, 810, Salvador - BA",Médio,Roubo (sem arma),Grupo de homens
"Estrada São José, 1287, Manaus - AM",Médio,Incêndio,N/A (Ex: Incêndio)
"Travessa das Flores, 967, Rio de Janeiro - RJ",Médio,Vandalismo,Criança
"Estrada Santos Dumont, 1196, Porto Alegre - RS",Alto,Maus tratos a animais,Mulher
"Avenida do Sol, 1271, Rio de Janeiro - RJ",Alto,Furto,Grupo de homens
"Alameda São José, 467, São Paulo - SP",Médio,Incêndio,Suspeito(s) em fuga
"Avenida São José, 1993, Curitiba - PR",Médio,Maus tratos a animais,Casal
"Rua da República, 2317, Salvador - BA",Médio,Atividade suspeita,Vítima não identificada
"Praça Brasil, 1454, Manaus - AM",Baixo,Acidente de trânsito sem vítima,N/A (Ex: Incêndio)
"Praça Dom Pedro II, 1584, Recife - PE",Médio,Vandalismo,Mulher
"Travessa Sete de Setembro, 356, Brasília - DF",Alto,Perturbação do sossego,Mulher
"Estrada São José, 546, Recife - PE",Médio,Furto,Vítima não identificada
"Estrada das Flores, 704, Curitiba - PR",Alto,Atividade suspeita,Mulher
"Praça da República, 2197, Recife - PE",Baixo,Roubo (sem arma),Mulher
"Estrada São José, 1582, Curitiba - PR",Baixo,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Estrada Marechal Deodoro, 241, Florianópolis - SC",Alto,Acidente de trânsito sem vítima,Casal
"Rua da República, 2311, Rio de Janeiro - RJ",Baixo,Perturbação do sossego,Múltiplas pessoas
"Avenida Santa Rita, 2203, Rio de Janeiro - RJ",Baixo,Atividade suspeita,Homem
"Rua Tiradentes, 1662, Brasília - DF",Alto,Atividade suspeita,Suspeito(s) em fuga
"Alameda das Flores, 539, Fortaleza - CE",Baixo,Briga doméstica,Casal
"Praça Duque de Caxias, 2456, Rio de Janeiro - RJ",Baixo,Acidente de trânsito com vítima,"Família (Homem, Mulher, Criança)"
"Alameda Dom Pedro II, 21, Curitiba - PR",Baixo,Agressão física,Criança
"Alameda São José, 2208, Manaus - AM",Baixo,Acidente de trânsito sem vítima,Idoso
"Avenida do Sol, 1463, Belo Horizonte - MG",Médio,Assalto a mão armada,Casal
"Estrada Tiradentes, 1594, São Paulo - SP",Alto,Briga doméstica,Mulher
"Estrada Dom Pedro II, 2449, Belo Horizonte - MG",Baixo,Maus tratos a animais,Mulher
"Alameda Dom Pedro II, 57, Rio de Janeiro - RJ",Médio,Acidente de trânsito com vítima,Múltiplas pessoas
"Avenida São José, 1321, Goiânia - GO",Alto,Perturbação do sossego,N/A (Ex: Incêndio)
"Estrada Santa Rita, 832, Curitiba - PR",Médio,Maus tratos a animais,Mulher
"Rua Marechal Deodoro, 2480, Salvador - BA",Baixo,Acidente de trânsito sem vítima,Casal
"Avenida da Paz, 2156, Belo Horizonte - MG",Médio,Briga doméstica,N/A (Ex: Incêndio)
"Alameda da República, 407, Porto Alegre - RS",Médio,Atividade suspeita,Criança
"Rua São José, 2177, Fortaleza - CE",Alto,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Alameda Santos Dumont, 470, Recife - PE",Baixo,Furto,Idoso
"Estrada da República, 1834, Brasília - DF",Baixo,Roubo (sem arma),Grupo de homens
"Rua Primeiro de Maio, 993, Belo Horizonte - MG",Baixo,Acidente de trânsito sem vítima,N/A (Ex: Incêndio)
"Estrada da Paz, 397, Goiânia - GO",Médio,Briga doméstica,Homem
